,reviews
761,송금도 간편하고 내 계좌 목록보면서 관리하니까 정말 좋아요 
762,8월6일 1000캐시 당첨권에서 100캐시를 뽑았는데 없네요 이거 어디간거죠 \? 받았다는내용도 없고 사용했다는 내용도 없네요 그리고 충전도 비밀번호 사용초과 \? 이것만 계속뜨면서 카드 등록도 안되고 진짜 말이 안나오네요
763,빠르고 간단하게 본인인증 하려고 앱 쓰는데 허구한날 업데이트에다가 빠르지도 않음 답답 
764,일일히 은행을 가지 않아도 되고 인증서도 등록할 필요없이 간단한 등록 후 쓸 수 있어서 정말 편리해요 토스는 사랑입니다 
765,얼마나 엉망으로 만들었으면 운전면허증 민식을 못하냐 \? 
766,너무너무 재미있게 보고있는데요 그전에 카카오페이지를 지웠다가 깔았거든욥 \? 근데 그전에 캐시를 사서 웹소설을 봤는데 지금 보니까 소장되어 있던 100편은 넘었는데 다시한번 그소설에 들어가보니까 없어져 있는데 이게 정상인건가요 \? 
767,이미 구입한책을 오프라인으로는 볼수 없게 만들어 놨네요 오프라인에서도 구입한책을 읽을수 있게해주세요 
768,다운로드를 하면 계속 튕겨요 이게 뭐에요 아직 캐시 많이 남았은데 어떻게 하실거에요
769,이렇게 효율성과 실용성 모두 갖춘 건 토스 뿐일 겁니다 앱 만들어주셔서 너무 감사합니다 한도도 200까지 늘려주셔서 절이라도 해드리고 싶습니다 사랑해요 토스 복많이 받으십쇼 ! ! ! 
770,토스는 출금이 안돼나요 \? 제가모르고 30만원을 토스에넣었는데 뺄수가없어서요
771,카톡도 용량 뻥튀기인데 이것까지 깔라는건 무슨 경우 \? 카톡에서도 충분히 볼 수 있잖아요 카톡에 결제기능도 만들어두시던가 편하게 좀 봅시다
772,"잘 쓰던 네이버북스토어를 버리고 다른 앱으로 갈아타도록 이벤트로 유혹을 했으면 이전보다 더 나아져야하는게 정상 아닌가 싶다 그런 당연한 상식을 무시하고 다운그레이드 앱을 만들어서 길가던 사용자들에게 뒤통수를 당할지도 모를 제작자들에게 올해의 다윈상을 미리 수상한다 앱을 만든지 며칠만에 상을 수상하다니 , 아주 대박이라서 축하평으로 앱을 사용한 감상을 몇가지만 늘어놓아보겠다 이미 구매한 쿠키는 어떻게 사용하는지도 모르겠고 , 일괄구매 기능은 눌러도 먹통이라 편마다 일일이 눌러서 구매해야하고 , 페이지는 한 번 누르면 마지막 페이지까지 워프를 타고 , 내서고의 타일 뷰 기능도 사라지고 , 홈 화면을 살피는게 불편하다 앱 아이콘 디자인도 맘에 안들기는 하지만 , 이건 기능 문제가 아니니가 차치하자 세상은 넓고 사람은 많기에 이 앱이 손에 잘 맞다고 하는 사람도 있겠지만 일단 난 아니기에 , 이럴거면 앱을 업데이트 형식으로 낼 것이 아니라 네이버 북스토어와 아예 별개 앱으로 취급해서 따로 내주면 좋겠다 계속 북스토어를 쓰는게 내 건강과 정신과 가정과 회사와 나라에 이롭다 "
773,굉장히 편리합니다 솔직히 이만한 앱은 대체가능한게없더라고요
774,이제서야 처음 사용해봅니다 얼마나 간편하길래 이러나 했는데 정말 그렇네요 전화번호 송금이 아닌 계좌이체시 수수료 면제도 10회나 제공해줘서 마음이 든든합니다 앞으로 잘 사용할께요 발전하세요 ! \( 아래 평가항목 중 국제송금 여부는 아직 국내만 해봐서 확실하지 않음으로 선택합니다 \) 
775,전체문서를 클릭하면 자꾸 로드하는중 이라고만뜨고 더이상 문서를볼수가없는데 왜이런거죠 \? \? 
776,어제 까지만 해도 잘 들어갔는뎈 로그인 지 마음데로 하곸 로그인 하려고 하면 다시 꺼지곸 이거 이상한뎈 고쳐줘요 관리자님 
777,톡에 통장번호만 눌러도 계좌가 바로뜨니 간편하게 송금되어 좋아요
778,이거 탈퇴 왜 안되나요 \? 지문일치했는데도 계속 이전화면으로 돌아가는데요 
779,기껏 용량공간 비우고 깔면 캐시준대서 했드만 안주네 \? 어후 돈벌려고 별짓을 다해버리네 
780,유용한 어플이라고 추천받아서 쓰려고 했었는데 재미도 감동도 없는 여혐광고 덕분에 생각이 싹 사라졌네요 여성들은 고객 아니라고 생각하시나 봐요 \? 그러니 고객도 아닌 여성이용자는 앱 이용 안할게요 
781,회원가입해서 문자로 본인인증하려고만 하면 문자가 오질않네요 이것때문에 회원가입조차 하지못하네요 실망이네요
782,아니네가5천원을질르고나서제가400원을쓰고4600원이있엇는데제가내일쓸려고납뒀는데다음날보니없어요이거좀아니지않나요 \? 돈빼먹는것도아니고최악주는것도아까워요 이것 직히복구해줘야돼는거아닌가요 \? 
783,다조은데요 ! ! 지금오류난거같은데 타임라인에 걀제내역 같은거 2번씩 떠요 2번결제된줄알고 헐레벌떡 국민은행 앱 접속하니까 한번이데요 오류수정좀요
784,다른 그 어느것보단 좋았던건 고객센터에 빠른 대응 이었습니다 개인적으로 감동이 이렇게 빠르게 대응해주는 어플 처음입니다 
785,카카오카드등록과 카카오뱅크내역은 왜 분석에 집계가 안되나요 \? 카카오카드 연동 서비스 제공예정이긴한가요 \? 
786,사용하는 사람의 트랜드를 파악 하지 못하고 갈수록 bl물만 메인으로 홍보하고 광고하는 쓰레기같은 앱 몇 가지 단독 소설 아니면 진작에 삭제했을 앱인데
787,뮤오리진2 사전예약했고 구글플레이에서 사전예약 안하고 정식사전예약 신청 했습니다 300캐시 주세요 앱 껐다켜고 다시 들어갔다 나오기를 수차례 반복해도 캐시 지급 안되네요 010 9413으로 사전예약 신청했습니다
788,핸드폰을 바꾸고나서 처음핸드폰인증할때 문자가 안와요 스팸문자로 차단된것도아닌데 
789,이번 업데이트 너무 불편합니다 전에는 잘못 눌러도 사기전에 한번 더 확인 해야지만 소설이나 웹툰이 구매가 되는데 이제는 잘못 누르면 바로 결재가 되어버려서 보고싶었던게 따로 있었음에도 불구하고 잘못 눌러서 4쿠키가 날라가 버렸습니다 차리리 대여권이나 소장권을 샀을때가 더 나았던거 같아요 차라리 쿠키로 구매도 전처럼 한번 확인하고 결재할 수 있게 해주세요 이대로라면 정말 불편해서 미칠거 같네요 
790,3시간 기다리고 술집못들어갈뻠했는데 직전에 이거덕에 들어감 감사합니다 진짜
791,너무 쉽고 좋아요 모든기관에서 인증이 될까 \? 의문이 앞서네요 
792,한번 사용을 한다고 해 보니까 입금 얼마가 되었으니 확인을 하라는데 확인을 하니까 금액은 찍혀 있는데 통장 계좌를 알려 달라고 해서 계좌를 찍어 보내었는데 통장으로 입금 처리를 해도 입금 표시가 처리가 되지가 않되는 것은 무엇때문 인가요 \? 
793, 최악 로딩속도도 느려지고 연재 웹툰들도 다 기무로 바뀜 이정도면 그냥 돈독 오른거로 밖에 안보여요 이렇게 해서 돈 더 번다고 해도 나중에 사람들 다 떠나가면 무슨 소용 \? 이렇게 되면 걍 기무 푸는게 나을듯요
794,사용자들 편의는 신경도 안쓰고 그냥 문자 인증하게 하면 되지 앱설치를 하게 하고 또 회원가입을 해야되고 회원 늘려서 실적 많아 보이게 하고 싶으신가봐요 \? 이거때문에 서비스 해지하고 앱삭제합니다
795,아니 업데이트하고나서 봤더니 만보기 기능을 왜이리 엉망으로 만들어졌나요 요즘 행운퀴즈도 자주 안올라오는 와중에 만보기까지 이렇게 되니 속상하네요 진짜 이렇게 하실거면 출금이라도 자유롭게 해주세요
796,이게 뭡니까 \? 밤새도록 지문인증단계에서 먹통이고 이전단계 비밀번호만 반복입력하게 하니 개인정보 \( 이미지 통화접근 등등 \) 만 허용했네요 불안해요 
797,업데이트하고나서왜안됨 \? \? 구매한거어쩔거임 \? \? 
798,아주 간혹 다운목록이 지워지는거 왜엔 아주 유익하게 즐기고있어요 
799,현대백화점 가입완료도 하고 파이널 판타지 성채레벨 10까지 완료했는데 캐쉬 지급이 안되네요 그냥 가입하는 이벤트는 그렇다치지만 힘들게 레벨 10까지 만드느라 그 오랜 시간 공친건 어쩌나요 시간도 아깝고 기분만 나쁩니다 캐쉬 제대로 지급해주세요 솔직히 가입 이벤트도 개인 정보 넘어가는건데 이래도 되나요 \? 새로고침해봐라 그런 피드백 말고 확실하게 처리해주세요
800,아주편리하게 쓰고있어요 좀더 금액이 높음 더 좋을것같아요 
801,너무 재밋어요 ! 근데 저장공간이 부족해서 지웠다 깔았는데 기다리면 무료 만화를 처음부터 보거나 그래야 되네요 그냥 지워도 계속 이어볼수 있게 해주시면 감사하겠습니다 ! 
802,9셋업이후에 사용이 정말 간단하다 은행원에게 신분증만 넘겨주고 이래이래 해주세요 하고 간단하게 기다리기만 하면 도는것보다 쉽다 게다가 수수료를 안내서 좋다 갓탬 ! ! 
803,동영상 화면 비율조절이 안되네요 예전에는 꽉찬 화면이었는데 
804,친구를 삭제 할수도 없고 따로 알림 못오게 설정도 못하게 왜 해놨어 ! ! 설치해보니 볼것도 없어서 지운 앱 알람받음 좋아 \? 뭘 자꾸 앱설치해라고 하냐고 ! ! 짜증나 죽겠네 ! ! 한번 더 같은 알람오게 하면 내 시간투자해서 전화한다 ! ! 그땐 죽는거다 ! ! 경고했다 ! ! 
805,무료 아니라고 징징대는 놈들은 다 거지냐 \? 1만원 쓰기도 싫어서 어떻게 사는지 모르겠네 
806,언데드킹때문에 3점 달빛조각사 \( 소설 \) 때문에 5점주고싶지만 5개밖에 안되네 그외 등등 재밌는거 많아서 20개는 주고싶다 
807,항상 보안카드로 이체하다가 없이 비번만 치면 입금되니 넘 편해요
808,앱 너무 좋아요 원래 다른 송금앱을 쓰다가 친구의 추천으로 넘어오게 되었는데 친구들 중에서도 토스앱 쓰는사람이 많아서그런가 송금도 편하고 문상으로도 바꿀 수 있고 너무너무 좋은것 같아요 ! 
809,카카오페이지 자체는 좋은데 케시로 대여권을 사는게 최소200케시로 사게 되있는데 저같이 어린애들은 케시 모으는 방법이 별로 없어서 무료케시 모으는 곳이 있어도 쉬운걸 다 하면 할 수 있는게 별로 없어서 조금은 아쉬움이 남는 그런 앱입니다 그래도 대체적으로 좋은 앱입니다 제가 원래 이렇게 길게 리뷰 안합니다 진짜 강추하는 앱이에요
810,토스카톡 문의 너무 좋은 것 같습니다 친절하시고 귀여워요 앱도 좋고 간단해요 ! 
811,사용이 편하고 앱도 안정적입니다 믿고써도 괜찮은 앱입니다
812,이거 댓 작성에 아예 욕 작성 못하게 해주세요 여기 무개념들이 너무많네요 뭐만 쓰면 욕을 써대네요 무개념 초딩들인것 같은데 되게 짜증나네요 
813,아니 그 캐시주는거 성채10렙히면 3500원주는건데 왜 안들어오죠 \? 
814,전 여기서 이미테이션 같은 순정 웹툰 \( 만화 \) 재미있게 보고있어요 ! ! 웹툰 좋아하는분들께 이앱추천하고싶네요
815,사용하기 간단하고 매우 편리합니다 문의도 되게 친절하게 답해주셔서 문제도 간편하게 해결됬네요 ! 토스 
816,계좌조회나 송금시 너무 편리해요 보안만 확실하면 계속 이용할꺼같아요 최고예요 계좌도 한 눈에 파악되니 좋아요
817,계좌알아보기를 시행하던 중 점검시간이라서 안돼는줄 알았는데 내계좌로 송금받기는 가능하지만 계좌잔액은 확인되지않는게 웃기네요 연결상태를 확잌하라던데 와이파이 연결중이였구요 심지어 다른것든을 다 가능하더라구요
818,와 거지같음 할인쿠폰 누르려니까 팝업 막힘 일 안해요 \? 걍 문자로 보내요 짜증나네
819,너무 잘 쓰고 있어요 근데 이번압데이트 부터 카카오뱅크 지원된다고 들었는데 새로등록하고 조회하니 안돼네요 혹시 다시 설치해야할까요 \? 
820,기존에 돈내고 결제한건 어디갔나요 영구소장이라고 해서 결제했는데 제 돈은 다 어디갔나요 \? 넘나 불편하네요 환불해주시던지 기존에책들을 다시 보여주시던지 하시죠
821,업댓전까지는 정말 재미있었어요 근데 왜 무료로보기에서 하루에 하나씩 대여권을 주는데 왜 쿠키를 주고 사라고 나왔죠 \? \? \? 
822,복붙 답변 다 됐고 기무제나 바꾸세요 이렇게 유저를 돈이라 생각한다면 저희들을 기만한다는걸로 생각하겠습니다 추신 유저 다 나가기 전에 고쳐요 
823,어플 들어가는데 한세월 걸리고 갑자기 공지에서 12시간 기무로 바뀐다고하고 돌아오길 기다리던 작품은 유료화 되서 돌아오고 학생인 전 캐시 구매도 못하고 비호감입니다 업뎃 전이좋았습니다
824,기다리면 무료 도시정벌 2 추천드립니다 다시보는 만화 요즘 20어렸을때 봤던 만화보는 재미로 시간가는줄 모르네요 추천 만화 도시정벌 시리즈로 다시보고있네요 기다리면 무료라 기다리는 맛도 있네요
825,처음 써보는데 편하네요 송금 할일 있을 때 유용하게 쓸거 같아요
826,설치하라는거 두개나 했는데 왜 쿠키가 안 오나요 6개 받아야 하는데
827,kt인앱에비밀번호 6자리눌으라한데 기억이안나면 어떻해야하나요 \? 비밀번호 찾기난도없고 
828,어제까지아이패드로잘보고잇엇는데 오늘들어어가니 기기등록5대너엇다고안됨 
829,정신못차렸군요 니가 전화해도 받아줄까 말까인데 나보고 오류를 전화로 신고하라니 토스 개판인 이유를 알겠네요 토스 삭제합니다 계속 그렇게 일하세요 그렇게 일해도 잘되는지 지켜보겠습니다
830,앱 설치를 했는데 쿠키가 안 들어오네요 처음 설치하는 앱이구 깔다가 폰이 꺼져서 그런지 실행해도 쿠키가 안 들어와 지웠다 다시 깔았는데도 들어오지가 않네용
831,어째서 갑자기 로그인이 실패하는 겁니까 무슨 업데이트 합니까 \? 어제 밤에 제가 결제를 했는데 이렇게 로그인 되지 않는 다면 제 돈 어쩔 껍니까 \? 그동안 잘 사용하고 있었고 불만도 없었는데 이렇게 뒤통수 후려갈기시는 겁니까 \? 제 폰만 이상합니까 \? 카카오톡은 잘만 가동되는데 방금 전까지 잘만 되던 카카오페에지가 왜 로그인에 문제가 발생하는 겁니까 \? 해결해주세요 
832,아니 100 하면 뭐하라고 100만 계속 나오고 잘 안 주면서 200부터 그냥 하고 100을 없으면 얼마나 좋아
833,"이건 아니죠 아무리 돈 버는 곳이긴 하지만 일주일에 한개씩 기다리면 새 화가 올라오니 그걸 기대하며 하루하루를 보내는 사람이 많은데 죄다 기다리면 무료로 돌려버리시면 어떡합니다 기무는 최신 몇편은 못보는 시스템 달아놓고 하루를 못기다리겠어 12시간에 하나씩 무료 이벤트 ! ! 는 무슨 말도안되는 건가요 , 한마디로 최신화보고싶으면 현질해라 이소리 아닌가요 \? 심지어 무료로 받을 수 있는 캐시들은 뭔 카드해라 뭐 사라 이런건데 학생들은 어떡하라는건가요 연령대 생각않해보시나요 \? 어른분들만 카카오페이지 보나요 \? , 학생들이 다 빠지면 최소 절반이상은 다빠질텐데 망하고싶으신건가요 \? 업데이트한다길래 시스템 정말 좋아지는건가 했는데 이건 무슨 날벼락이냐고요 이런식으로 기무로 다 돌려서 망한 웹툰앱이 얼마나 많은데 카카오페이지마저 이러는건가요 정령왕 엘퀴네스도 , 뮈엘라의 수사관도 , 왕의 딸로 태어났습니다 도 , 다들 인기많고 , 무료본 쪽에 있어도 캐시많이 들어오는 작품일텐데 조금이라도 잠시나마 돈 더 벌어보겠다고 카카오페이지의 있는 웹툰들 망치지 마세요 의견반영부탁드립니다 \) "
834,이거 핸드폰이제명의가아닌데 혹시 다른걸루 본인확인할수는없나요 \? 토스에돈이있는데 받을수가없네요 
835,카카오페이지에 아예 안들어 가짐 지웠다 다시 깔아도 앱에 안 들어가지고 웹소설 보려고 이어보기 하니까 팅기고 지금 몇일째 안들어 가지는지 모르겠음 이럴려고 업데이트 했나 싶고 아무튼 처음 깔았을 땐 재밌고 좋았는데 점점 노답으로 가는 듯 그 점검 끝난 후 부터 안 되기 시작한 것 같음 아니 진짜 이거 왜그러는 거에요 \? \? \( 진심 궁금 \) 와이파이 집이라 빵빵 터지고 카톡 라인 페북 다되는데 왜 이러지 \? \? 
836,기분 조 게 지내고요세상사는게벌건 아 아니지요 우리오빠건강하게진 내는게조 우일 읺여 요
837,똑같이 이름입력하고 핸펀번호 입력하고그림문자 입력하고 도대체 머가 편해진거임
838,문의드립니다 토스카드 다시 만들 수 있게 해주실 수 있나요 \? 이제 민증발급 받았는데 토스카드 만들고 싶어요 
839,연락처 송금 유료화된 부분에서 구체적으로 피드백 남겨주셔야 되는 것 아닙니까 \? 더 나은 서비스 제공위해 변경된 정책이라 답변다셨던데 유료화로 돌리면 어떠한 부분에서 더 이로운지 말을 해주세요 전혀 납득안되는 답변입니다 공지를 띄우고 변경을 하시던지 암튼 구체적으로 설명해주세요
840,저 카카오톡 조작하다가 실수로 탈퇴 되벼렸는데 복구 가능한가요 \? 현질한거 다 날라갔는데 
841,"저희 집 와파가 엄청 빵빵하고 , 제 폰도 최신폰이에요 근데 인테넷 연결이 계속 안돼요 데이터를 켜도 안돼요"
842,아니제가로그인할때마다안된다해서 계정만들었더니인증실패하고보니까일부러안주네요 ! ! ! ! 
843,"저엉말 유용하게 잘 쓰고 있습니다 이체수수료 5회 무료 , 모든 은행 계좌조회 등 장점이 많은 앱이네요 근데 주거래 계좌를 최상단에 올릴 수 있게 순서 바꾸기 기능이 추가되면 좋겠습니다 "
844,"아니 검색할때 더어려워졌음 쓸때없이 돈벌라고 영화추가하지말고 원래 내가 스포츠소설 많이보는데 업데이트전에 야구치면76개인가 나오고 축구치면100개이상나왔는데 진짜 새로나온스포츠소설 하루에 6번은 찾는데 찾는게더 어려워지면 어떻함 아구 , 축구치는것도 간신히 알았는데 업데이트 않하기 전으로 돌아가고싶다"
845,해지하는게 이렇게 어려울수가 \? \? 만들때는없던게해지할때는 수두룩빽빽 계좌맘대로잠궈놓고 풀어달라니까 우편으로뭔서류를보내라마라 해지해달라니까 사진인증을해라 했는데 묵묵부답 해지언제해줌 \? 
846,5프로 예금 이벤트 땡하자마자 100억 마감 한도가 있긴했었나 의심스럽네요 
847,저기 이거 송금지원금 100원도 안 되게 친구한테 보내지내요 옛날엔 3000천원 보냈는데 그것좀 고쳐주세요
848,외국계 펀드 조회를 하면 금액이 아니라 보유좌수가 나옵니다 금액이 나왔으면 좋겠어여 다룬 펀드는 금액으로 잘 나오는것같은데 우리은행쪽만 그런지 다른데도 그런지
849,뭐 다들 이거 댓글알바라고생각할수도있지만 전 정말좋게썼오요
850,광고에 리턴투플레이어 80화 무료보고 다운받았으나 허 ! ! 위 ! ! 광고 임 역시 대기업 대기업한테 그만 우롱당하고싶다
851,진짜 뒷통수 오백대 맞은 느낌임 카카오보다 더 불편해졌음 진짜 빡침 그것때문에 북스에서 보던가 다 하차하고 싶어짐 진짜 별로임 제발 다시 원래대로 돌려놓으셈
852,짱 좋음 무료 만화 볼수있다는게 신기 함 만화 진짜 재밌음 ! ! ! 
853,카카오페이지 카톡계정말고 다른계정으로는 로그인 안되는건가요 \? 이거 불편하네요 전에 쓰던 카톡 계정으로 로그인 하려면 카톡 지우고 로그인 하고 해야되는거 같은데 방법 없나요 \? 
854,뭐 재밌는 웹툰들두 많구 다른 웹툰앱들에 비해서 별로 광고도 렉도 없어서 좋아요 굳 ! ! ! 
855,계속 기기변경 요구하는걸 고객 안드로이드버전 탓하는 카카오뱅크 조회 이체같은 기본적인 기능은 어느 버전에서도 되게끔 해야지 그냥 돈 다시 옮기고 이체는 토스를 이용하겠음 안드로이드 버전 때문에 이용불가능해지는 고객들 다 이탈할듯 그리고 김상준씨 폰으로 밖에 이용할 수 없는 인터넷뱅크가 안드로이드 버전 운운하면 안되죠 윈도우처럼 뭐 10년씩 쓰는 것도 아니고 버전이 1년에도 몇번씩 바뀌는데
856,오늘 아침부터 다른 계정으로 로그인을 할려고 하는데 계속 오루코드 a1 199라고 나옵니다 빨리 고쳐주세요 
857, 쓰라는건지 말라는건지 전에는 계좌만 등록하고 휴대폰인증만 하면 바로 쓸수있어서 좋았는데 갑자기 새마을금고 앱을 깔아서 인증을 하라네요 \? 집에서 맘편히 쓰려고 깐 앱인데 이렇게 되면 저는 은행까지 가서 서류준비해서 인터넷뱅킹 신청까지 해야 쓸수있게되는건가요 \? 새마을금고 계좌 쓰는 저는 앞으로 토스 못 쓰겠네요 그냥 귀찮게 신청할바에야 차라리 돈 보낼일 있을때마다 은행을 갈게요 
858,돈 모으기 기능 좋아요 소소하게 모아가지고 남자친구와 맛난거 사먹고 좋네요
859,토스 감사해요 울엄마 폰뱅킹 이런거 완전 어려워하셨는데 토스하고 이체하러 에이티엠기 안가셔요 
860,앱으로 인증하니 입력해야하는 정보가 적어져서 훨씬 편하네요 
861,내 신용과 은행거래를 한곳에서 랄수있어서 매우 만족합니다
862,계좌번호 몰라도 보낼수 있어 상당히 편함 카카오페이랑 비슷
863,타은행 거래시 수수료때문에 혹은 인증서 때문에 등등 불편한것들이 요거 하나로 해결된듯 합니다 한달 5회 무료가 안타까워서 아껴서 급할때 사용중이어요 
864,"26주 적금에서 매주 적금 금액이 납입되면 한 주마다 캐릭터가 생겼는데 , 업데이트 한 후 납입했는데도 캐릭터가 안 생기고 빈칸이 되는 경우가 있어요 이건 왜 이런건가요 \? 업데이트 하고 더 불편해진 것 같아요 "
865,만화에 들어가지도 않아요 핸드폰을 끄고 다시 키라고 해서 켰는데 또 않되고 꼈가 키는 걸 반복해오 않되요
866,"카카오뱅크도 제휴해주세요 편리하고 , 자산을 한 눈에 보고 관리하는 점 굉장히 좋습니다 작게 투자도 하고 있는데 만족스러워요 "
867,우리은행 비밀번호 바꾸라해서 바꾼다음에 다시계좌 정보 삭제하고 등록해도 비밀번호 틀렸다고 계속뜨고 진짜 어제오늘 하루종일 우리은행 홈페이지에서 로그인하고 토스에서 로그인실패하고 반복만 500번넘게했습니다 제발 어케 하주세요
868,우연히 알게되서 사용했는데 편함이 상상을 초월합니다 친구들한태 5000원 받으라고 소개해도 다들 불안하다고 사용을 안하네요 안정성에 대해 조금만더 홍보한다면 모두가 편리하게 사용할수 있을거같습니다 감사합니다 ! 
869,처음 써봐서 고생은 했지만 그건 시스템 문제가 아니라 토스기능을 몰랐던 제 불찰인 것 같습니다 굉장히 좋고 간편한 것 같네요 익숙해지면 더 편할 듯 합니다 
870,"이거 끝까지 무료인건 왜없나요 \? 있다고 해도 다 3회 , 5회 많으면 10회 무료 그리고 1회에 500이라니요 10회면 5000 100회면 50000이에요 너무 비싸단 생각 안드나요 \? 학생들은 마음대로 결제도 못하고 그러는데 너무 돈쓰라고 노골적으로 그러는거 같네요 이앱 진짜 돈많아서 쓸데없는 사람만 쓰라는 앱인거 같네요 깔지 않는게 좋아요 "
871,번번히 본인인증 하고 오류나면 다시 처음부터하고 공부는 해야겠는데 머리속에서 아 아까인증나서 또 다시해야대 아 라는 생각이 맴돌아서 공부 집중이안되고 그랬는데 인증앱설치후 번호만 간단히 입력하면되니까 간편하고 어플 잘사용 못하는 어르신들도 간편하게 사용가능할 것같아요
872,갑자기 팅기더니 느려져요 유튜브든 멜론이든 카톡이든 다 이상없이되는디 카카오페이지만 먹통되네요 지웠다가 다시깔아도 똑같고
873,근데 밤을 걷는 선비 업뎃한거 다 보고픈데 공짜는 안대겠져 \? 그래두 이런 앱 만들어 주셔서 감사합니다 
874,"토스를 정말 잘 사용하고있는 사람입니다 토스 앱 기능에대해서도 만족하고 있고요 하지만 가끔 지문인증하는 곳에 먼지가 쌓이거나 하면 지문인증이 잘 되지 않을 때가 있는데 , 5번이 연속으로 찍히더라고요 5번 연속으로 지문인증이 틀리면 앱이 잠기게 되는데 미성년자인 저는 인터넷 농협에 가입할 수 없고 , 동시에 이 앱을 이용할 수 없습니다 본인인증을 할 때에 다른 방법이 필요하다 생각합니다 "
875,아니 웹툰을 다 기무로 바꾸면 어떻해요 \? 참나 하루아침에 공지도 없이 웹을 싹다 기무로 바꿔버리네 그리고 새로운 화가 왜 안나오는거임 \? 다음편 보고싶어도 안나와서 살수도없고 애초에 캐시없는사람들은 \? 그냥 보지 말라는 거잖아 이럴꺼면 차라리 카카오페이지 접으셈 이거 안 바꿔주시면 나 카카오페이지 지워버릴꺼임 제발 바꿔주셈
876,대박 돈이들어간다 쭉쭉쭉쭉 추운데 밖에나갈필요 없이 방에서 만화감상 
877,토스를 사용하다 지우고 재설치했는데 ars전화인증후 인증완료가 되지않습니다 인증 완료중 떳다꺼졌다를 무한반복입니다 기종은v20입니다 
878,타계좌이체 수수료도 없고 주말에도 공짜로 월 20회까지 송금을 할 수 있다니 ! ! 심지어 한 번만 계좌 등록해놓으면 비밀번호로 간편하게 1분도 안돼서 송금을 할 수 있다니 ! ! ! 너무 좋습니다 심지어 24시간동안 하는 카톡 문의도 엄청 친절하고 재밌어요 앞으로도 계속 좋은 서비스 부탁드려요 토스토스
879,제발 전체다운로드 기능 추가랑 대여권 소장권 구분해서 쓸 수 있게 해줘요 기다무 말고 소장하고 싶은데 자꾸 기다무 써져서 짜증나요 그리고 일일이 한 회차 씩 다운 버튼 누르는 거 너무 오래걸리고 비효율적입니다
880,와이미테이션 인기쩐다 여기사진에도 나올정도면 대박 진짜 너무재밋어 웹툰들다넘 잼이야 
881,이번 토스카드 대응에 대해 실망했습니다 오히려 5000원 할인쿠폰을 증정하는게 오히려 더 괜찮은 이벤트였을거라 생각하구요 저는 어제 결제가 안된다 해서 카드결제 시도도 못해봤는데 이렇게 보상안으로 통수를 두번맞네요 기분나쁘기도해서 이렇게 리뷰합니다
882,급전 필요해서 아는 동생한테 바로 얻어썻네요 빠르고 편리합니다 굳
883,진짜 좋아요 매일 수수료 아까워서 죽을거같았는데 너무 좋네요 광고 같은것도 안뜨고 최고의 앱 ! ! ! 
884,나중에 갚을게 라는 말 보다 토스로 바로 전달하면 짱짱편함 
885,공이인증서 없이 사용가능해서 편리한데 내역 조회할려니 웬 공인인증서필오 하데 짜증 입빠이 짜증 이럴거면 왜만듬
886,다좋은대 어재저녁부터 갑자기 오류라로뜨거 책도못보개됏네요 오류는 언재 수정해주실껀가요
887,옛날에 개발자분들이 페북에 직접 광고하던게 엊그제같은데 머기업되셨네요
888,진짜 뽑기권 캐시 확률이 좀 이상함 최대 3만 \? 1만 \? 최대 100만이던 1억이던 뽑기권들 전부 최대 얼만큼 얻을 수 있다 거창하게 써놔도 해봐야 500캐시 까지밖에 뽑은적이 없음 최악이면 50캐시 줬고 심지어 대체 무료 캐시 얻는 곳에 영상보면 50캐시는 왜 있는거임 \? 쓸모가 없음 영상으로 캐시 얻는게 많은 것도 아니고 캐시충전에 50원 단위가 있는 것도 아니고 심지어 1천원 부터 충전 단위 시작 이벤트로 얻은 캐시 보관 기간이 긴 것도 아니고 희망고문이야 \? 뭐야 \? 소설도 1편에 100원인데 진짜 생각없이 저런것좀 안만들면 좋겠음
889,제가 통장으로 1원들어오면서 인증하라는 페이지에서 2번 오류가 나서 계정이 막혔는데 토스 관리팀에 문의하라는데 어떻게 문의가능한가요 \? 
890,이번 업데이트로 이벤트로 받은 쿠키는 사용이 힘들게 됬네요 이용권구매 가능하게 해주셨으면 좋겠습니다 이건 아니에요 
891,캐시슬라이스스텝업 설치했는데 캐시가 안들어와요 조치해주세요
892,아니 친구한테 돈을 보냈는데 친구한테는 돈도 안오고 제통장에서는 돈이 이미 나갔는데 그돈 대체 어디로간건가요 \? 
893,잘 썼었는데 토스는 뱅크사인 추가안합니까 \? 이제 공인인증서 만료되서 버리고 뱅크사인 이용하는데 계좌인증수단이 공인인증서뿐이네요 그리고 주계좌 설립 진행중에 신분증 인증이 계속 오류나네요 이거 언제고칠겁니까 저만 그런것도 아닌거 같던대요 갈아탑니다 빠이루
894,신한은행 홈페이지에서도 로그인이 되는 아이디와 비번을 사용해서 계좌 연동을 할려고 하는데 홈페이지에서 계속확인해보라면서 계좌연동이 안되는데 이거 어떻게좀 해주시면 안될까요
895,pass 인증 미 가입 고객입니다 pass app 다운로드 가입 후 이용 가능합니다 라고 뜨네요 전에 잘쓰던건데 갑자기 왜이럴까요 밑에 다른 사람댓글 읽고 했는데도 안되요 
